Название,ЦЕНА,ОПИСАНИЕ,ДОП.ПРОДАЖА,КАТЕГОРИЯ,ФОТОГРАФИЯ
Уха Багратиони,515,"Рецепт ухи передается из поко-
ления в поколение в прибрежных
районах грузии .Наваристый бу-
льон, красная рыба с картофелем и
морковью.","шотис пури, хачапури",Супы,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Харчо,445,"«Харчо пожалуй самый знамениты
грузинский суп!
Наша Марико говорит, что
настоящий харчо должен быть
обжигающим как поцелуй любимой
девушки!
Специи для харчо нам привозят
из Грузии! Напитанные свежим
горным воздухом и солнцем
они имеют обжигающий вкус
и неповторимый аромат.»","шотис пури, хачапури",Супы,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Чихиртма,385,"Нежный куриный традиционный
кавказский суп с яйцом, со свежи-
ми нотами, благодаря мяте и кинзе.
с характерной кислинкой за счет
добавления уксуса.","шотис пури, хачапури",Супы,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Шурпа с бараниной,485,"Наваристый, ароматный, суп с
мясом баранины и овощами.","шотис пури, хачапури",Супы,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хашлама с говядиной,445,Ароматный наваристый суп с говядиной и овощами ,"шотис пури, хачапури",Супы,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Солянка,475,"Традиционный рецепт всем извест-
ной мясной солянки на грузинский
манер, с грузинскими специями.","шотис пури, хачапури,сметана",Супы,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хачапури по-аджарски,545,"Сочная лепешка в виде лодочки с
нежнейшим сыром сулугуни и яич-
ным желтком","дополнительный желток,
сливочное масло, соус
сацибели, сметано чесночный",Выпечка,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хачапури по-имеретински,530,"Самый классический хачапури на
компанию с сыром внутри. Хорошо
сойдет за полноценное блюдо, но и
сможет стать дополнительной за-
куской к основным блюдам.","соус сацибели, сметано-
чесночный, сметана, гранатовый,
ткемали",Выпечка,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хачапури по-мегрельски,585,"Сочный хачапури с двумя слоями
сыра внутри и снаружи. В мегрель-
ском хачапури больше сыра, пото-
му что принято считать, что ме-
грелы жили зажиточнее остальных
народов Грузии и могли позволить
себе больше сыра.","соус сацибели, сметано-
чесночный, сметана,
гранатовый, ткемали",Выпечка,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Императорский  хачапури,815,"«О происхождении этого невероятно сыроного хачапури есть интересная
история....
По легенде князь Багратиони решил удивить императора Александра 1 и испек
ему, в честь встречи, хачапури. Но не обычный хачапури, а с невероятным
количеством сыра. Увидев его, сам Александр назвал его императорским! А так
как наша Марико является ТАЙНОЙ, дальней родственницей, ей единственной
и был передан рецепт императорского хачапури.»","соус сацибели, сметано-
чесночный, сметана, гранатовый,
ткемали",Выпечка,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Кубдари с зеленью,625,"Мясной пирог с сочным говяжье-
свиным фаршем и яркой свежей
шапкой из зелени в сочетании
с пряными нотками грузинских
специй.","соус сацибели, сметано-
чесночный, сметана,
гранатовый, ткемали",Выпечка,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Чебурек,325,"Хрустящее золотистое тесто
снаружи и горячая сочная
говяже-свиная начинка внутри.
","соус сацибели, сметано-
чесночный, сметана,
гранатовый, ткемали",Выпечка,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Шотис пури,75,"Домашний хлеб собственного
приготовления тетушки Марико,
подается исключительно в горячем
виде.","соус сацибели, сметано-
чесночный, сметана,
гранатовый, ткемали",Выпечка,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хинкали с говядиной жареные/вареные,100,"Это конвертики из тонкого теста с
ароматной мясной начинкой и боль-
шим количеством бульона.","соус сметано-чесночный,
сацибели, майонез, сметана,
наршараб, ткемали красный и
зеленый, аджика",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хинкали с курицей жареные/вареные,100,"Это конвертики из тонкого теста с
ароматной мясной начинкой и боль-
шим количеством бульона.","соус сметано-чесночный,
сацибели, майонез, сметана,
наршараб, ткемали красный и
зеленый, аджика",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хинкали с бараниной жареные/вареные,105,"Это конвертики из тонкого теста с
ароматной мясной начинкой и боль-
шим количеством бульона.","соус сметано-чесночный,
сацибели, майонез, сметана,
наршараб, ткемали красный и
зеленый, аджика",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Хинкали с сыром жареные/вареные,105,"Это конвертики из тонкого теста с
ароматной мясной начинкой и боль-
шим количеством бульона.","соус сметано-чесночный,
сацибели, майонез, сметана,
наршараб, ткемали красный и
зеленый, аджика",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Баранья нога,1455,"Нежная мякоть баранины на кости,
приготовленная по старинному
рецепту с гарниром из томленых
томатов с луком.","шотис пури, хачапури,
запеченый картофель,соус сацибели, сметано-
чесночный, овощная тарелка,",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Семейное оджахури,805,"Ароматное блюдо со свининой,
запеченным картофелем в специях,
томатом и кольцами свежего
красного лука с соусом сацибели.","шотис пури, хачапури,
запеченый картофель,соус сацибели, сметано-
чесночный, овощная тарелка,",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Цицила тапака                                                                                  ,815,"Запеченный румяной корочки цы-
пленок в ароматных специях. По-
дается с соусом Сацибели.","шотис пури, хачапури,
запеченый картофель,соус сацибели, сметано-
чесночный, овощная тарелка,",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Чашушули,640,"Это пряное блюдо из говядины
томленной с томатами и луко с гру-
зинскими специями.","шотис пури, хачапури,
запеченый картофель,",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Чакапули,695,"Томленая говядина в белом вине с
невероятным сочетанием тархуна
и зелени зелени.","шотис пури, хачапури,
запеченый картофель,",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Чахохбили,505,"Курица, томленная с овощами,
томатами и луком в традиционных
грузинских специях.","шотис пури, хачапури,
запеченый картофель,",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
баранина с картофелем,685,"Сочное пряное блюдо из томленой
баранины с запеченным в специях
картофелем.","шотис пури, хачапури, соус
сацибели, ткемали зеленый
и красный",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Гурули,505,"Нежная куриная грудка,
приготовленная в сливках с
грибами и луком.","шотис пури, хачапури,
картофель запеченый",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Чанахи,595,"С грузинского языка на русский
название чанахи рецепт
переводится как жаркое.","шотис пури, хачапури",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Свинина по-мегрельски,675,"Сочная свиная отбивная с
запеченным картофелем и соусом
сацибели.","шотис пури, хачапури, соус
сацибели, овощная тарелка",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Язык свиной запеченый,845,"Нежный свиной язык запеченный
в сливочном соусе с грибами и
луком, под сыром сулугуни.","шотис пури, хачапури",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Оджахури,525,"Ароматное блюдо со свининой,
запеченным картофелем в специях
и кольцами свежего красного лука.","шотис пури, хачапури, соус
сацибели, сметано чесночный,
овощная тарелка",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
цицила с брокколи ,605,"Сочное жареное куриное филе с
брокколи в сливочно-чесночном
соусе.","шотис пури, хачапури,
картофель запеченый",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Кучмачи,495,"Кучмачи это очень нежное,
пикантное и ароматное блюдо из
куриных потрошков. Обжаренные
сердечки и печень со специями.","шотис пури, хачапури,
картофель запеченый",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Жаркое по-чкмерски,585,"Запеченые слоями говядина с
картофелем, грибами и сыром в
сливочно-чесночном соусе.","шотис пури, хачапури",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Форель речная,825,"Цельная сочная рыба, которая по-
дается с дольками лимона в папри-
ке.","шотис пури, хачапури, соус
наршараб, ткемали зеленый,",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Семга по гурийски,1305,"Сочное филе семги на подушке из
шпината, сливок и лука.","шотис пури, хачапури, соус
наршараб, ткемали зеленый",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Жаркое по гурийски,745,"Кусочки нежной семги с картофе-
лем, брокколи и сыром запеченные
в сливочном соусе.","шотис пури, хачапури",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Кахури,865,"Традиционный рецепт баранины
томленой с томатами, луком
из региона Кахури.","шотис пури, хачапури,
запеченый картофель, соус
сацибели, сметано-чесночный",Горячее,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Сацебели,105,"пряный
томатный грузинский соус.",,Соусы,
Ткемали,145,"сливовый
соус с кислинкой.",,Соусы,
Наршараб,155,"гранатовый
кисло-сладкий соус.",,Соусы,
Баже,115,"грецкий орех, сванская соль, аджика и
чеснок.",,Соусы,
Аджика,145,"чили перец и 12 других
пряностей.",,Соусы,
Сметанно-чесночный,105,"сметана, зелень, чеснок.",,Соусы,
Сметана,105,С нежным молочным вкусом. Отлично подходит к пышным хачапури и сочным хинкали ,,Соусы,
Майонез,105,,,Соусы,
Грузинский шоколадный торт с домашним сыром,405,"Шоколадный десерт, с интересным
сочетанием сладкого шоколада и
солоноватого сыра.",,Десерты,
Лакомство тетушки Марико,375,"Медовик на манер любимой
тетушки Марико с большим
количеством крема.",,Десерты,
Мед,205,"Высокогорный мёд из села Мухури, натуральный и вкусный, собранный уникальной мегрельской пчёлой.",,Десерты,
Варенье,195,"Домашнее,сваренное самой Марико,варенье из кураги,инжира или ягоды ",,Десерты,
Ягодный штрудель,415,"Яркий, насыщенный вкусом
ягодный десерт из вишни
с карамелью и шариком
мороженного.",,Десерты,
тайны марико,405,"Заветная мечта дядюшки Дато,
который ухаживает за Марико.
Сливочно желейный десерт со
взбитыми сливками и ягодами
вишни.",,Десерты,
Ягодный пирог ,395,"Нежный десерт с ягодами черной
смородины и сливочным кремом.",,Десерты,
Большая мечта дядюшки Дато,375,"Десерт из хрустящего слоеного
теста, с заварным сливочным
кремом и обилием сгущеного
молока.",,Десерты,
"Mever газированная  0,5л",255,,,Напитки,
"Mever негазированная 0,5л                                                                                                                                                 ",255,,,Напитки,
"Саирме газированная  0,5л                                                                                               ",305,,,Напитки,
"Саирме негазированная 0,5л",305,,,Напитки,
"Добрый Кола 0,33л ",265,,,Напитки,
"Добрый Апельсин 0,33л",265,,,Напитки,
"Добрый Лимон-Лайм 0,33л",265,,,Напитки,
"RICH тоник 0,33л",265,,,Напитки,
"Сок яблоко 0,2л",185,,,Напитки,
"Сок апельсин 0,2л ",185,,,Напитки,
"Сок вишня 0,2л ",185,,,Напитки,
Сок яблоко 1л,795,,,Напитки,
Сок апельсин 1л,795,,,Напитки,
Сок вишня 1л ,795,,,Напитки,
"Боржоми 0,5л",365,,,Напитки,
"Кавказский лимонад ТАРХУН 0,5л",355,,,Напитки,
"Кавказский лимонад БАРБАРИС 0,5л",355,,,Напитки,
"Кавказский лимонад САПЕРАВИ 0,5л",355,,,Напитки,
"Кавказский лимонад ГРУША 0,5л",355,,,Напитки,
"Морс КЛЮКВА 0,2л",135,,,Напитки,
Морс КЛЮКВА 1л,615,,,Напитки,
"Морс СМОРОДИНА 0,2л",135,,,Напитки,
Морс СМОРОДИНА 1л,615,,,Напитки,
"Морс ОБЛЕПИХА 0,2л",195,,,Напитки,
Морс ОБЛЕПИХА 1л,855,,,Напитки,
"Ягодный  0,4 л",355,,,Напитки,
"Тархун-яблоко 0,4л",355,,,Напитки,
"Грушевый 0,4л",355,,,Напитки,
"Алыча-персик 0,4л",355,,,Напитки,
"Белая Сангрия 0,4л",355,,,Напитки,
"Красная Сангрия 0,4л",355,,,Напитки,
Ягодный 1л,765,,,Напитки,
Тархун-яблоко 1л ,765,,,Напитки,
Грушевый 1л,765,,,Напитки,
Алыча-персик 1л,765,,,Напитки,
Белая Сангрия 1л,765,,,Напитки,
Красная Сангрия 1л,765,,,Напитки,
